ArtifactName,VulnerabilityID,PkgName,InstalledVersion,FixedVersion,Severity,Description
ghcr.io/stefanprodan/podinfo:6.4.0,CVE-2023-42363,busybox,1.35.0-r29,1.35.0-r31,MEDIUM,A use-after-free vulnerability was discovered in xasprintf function in xfuncs_printf.c:344 in BusyBox v.1.36.1.
ghcr.io/stefanprodan/podinfo:6.4.0,CVE-2023-42364,busybox,1.35.0-r29,1.35.0-r31,MEDIUM,A use-after-free vulnerability in BusyBox v.1.36.1 allows attackers to cause a denial of service via a crafted awk pattern in the awk.c evaluate function.
ghcr.io/stefanprodan/podinfo:6.4.0,CVE-2023-42365,busybox,1.35.0-r29,1.35.0-r31,MEDIUM,A use-after-free vulnerability was discovered in BusyBox v.1.36.1 via a crafted awk pattern in the awk.c copyvar function.
ghcr.io/stefanprodan/podinfo:6.4.0,CVE-2023-42366,busybox,1.35.0-r29,1.35.0-r30,MEDIUM,A heap-buffer-overflow was discovered in BusyBox v.1.36.1 in the next_token function at awk.c:1159.
ghcr.io/stefanprodan/podinfo:6.4.0,CVE-2023-38545,curl,8.1.2-r0,8.4.0-r0,CRITICAL,"This flaw makes curl overflow a heap based buffer in the SOCKS5 proxy
handshake.

When curl is asked to pass along the host name to the SOCKS5 proxy to allow
that to resolve the address instead of it getting done by curl itself, the
maximum length that host name can be is 255 bytes.

If the host name is detected to be longer, curl switches to local name
resolving and instead passes on the resolved address only. Due to this bug,
the local variable that means ""let the host resolve the name"" could get the
wrong value during a slow SOCKS5 handshake, and contrary to the intention,
copy the too long host name to the target buffer instead of copying just the
resolved address there.

The target buffer being a heap based buffer, and the host name coming from the
URL that curl has been told to operate with.
"
ghcr.io/stefanprodan/podinfo:6.4.0,CVE-2023-38039,curl,8.1.2-r0,8.3.0-r0,HIGH,"When curl retrieves an HTTP response, it stores the incoming headers so that
they can be accessed later via the libcurl headers API.

However, curl did not have a limit in how many or how large headers it would
accept in a response, allowing a malicious server to stream an endless series
of headers and eventually cause curl to run out of heap memory."
ghcr.io/stefanprodan/podinfo:6.4.0,CVE-2024-2398,curl,8.1.2-r0,8.7.1-r0,HIGH,"When an application tells libcurl it wants to allow HTTP/2 server push, and the amount of received headers for the push surpasses the maximum allowed limit (1000), libcurl aborts the server push. When aborting, libcurl inadvertently does not free all the previously allocated headers and instead leaks the memory.  Further, this error condition fails silently and is therefore not easily detected by an application."
ghcr.io/stefanprodan/podinfo:6.4.0,CVE-2023-46218,curl,8.1.2-r0,8.5.0-r0,MEDIUM,"This flaw allows a malicious HTTP server to set ""super cookies"" in curl that
are then passed back to more origins than what is otherwise allowed or
possible. This allows a site to set cookies that then would get sent to
different and unrelated sites and domains.

It could do this by exploiting a mixed case flaw in curl's function that
verifies a given cookie domain against the Public Suffix List (PSL). For
example a cookie could be set with `domain=co.UK` when the URL used a lower
case hostname `curl.co.uk`, even though `co.uk` is listed as a PSL domain.
"
ghcr.io/stefanprodan/podinfo:6.4.0,CVE-2023-46219,curl,8.1.2-r0,8.5.0-r0,MEDIUM,"When saving HSTS data to an excessively long file name, curl could end up
removing all contents, making subsequent requests using that file unaware of
the HSTS status they should otherwise use.
"
ghcr.io/stefanprodan/podinfo:6.4.0,CVE-2024-0853,curl,8.1.2-r0,8.6.0-r0,MEDIUM,"curl inadvertently kept the SSL session ID for connections in its cache even when the verify status (*OCSP stapling*) test failed. A subsequent transfer to
the same hostname could then succeed if the session ID cache was still fresh, which then skipped the verify status check."
